date,close
2021-04-22,9.9
2021-04-23,9.91
2021-04-26,9.91
2021-04-27,9.91
2021-04-28,9.91
2021-04-29,9.93
2021-04-30,9.93
2021-05-03,9.93
2021-05-04,9.9
2021-05-05,9.9
2021-05-06,9.9
2021-05-07,9.9
2021-05-10,9.9
2021-05-11,9.85
2021-05-12,9.85
2021-05-13,9.85
2021-05-14,9.8
2021-05-17,9.8
2021-05-18,9.8
2021-05-19,9.8
2021-05-20,9.78
2021-05-21,9.8
2021-05-24,9.8
2021-05-25,9.8
2021-05-26,9.79
2021-05-27,9.75
2021-05-28,9.76
2021-06-01,9.72
2021-06-02,9.7663
2021-06-03,9.81
2021-06-04,9.86
2021-06-07,9.8
2021-06-08,9.775
2021-06-09,9.8
2021-06-10,9.81
2021-06-11,9.765
2021-06-14,9.77
2021-06-15,9.77
2021-06-16,9.79
2021-06-17,9.76
2021-06-18,9.75
2021-06-21,9.74
2021-06-22,9.73
2021-06-23,9.785
2021-06-24,9.76
2021-06-25,9.74
2021-06-28,9.73
2021-06-29,9.75
2021-06-30,9.71
2021-07-01,9.7125
2021-07-02,9.7
2021-07-06,9.71
2021-07-07,9.71
2021-07-08,9.735
2021-07-09,9.73
2021-07-12,9.79
2021-07-13,9.79
2021-07-14,9.79
2021-07-15,9.8
2021-07-16,9.8
2021-07-19,9.765
2021-07-20,9.77
2021-07-21,9.85
2021-07-22,9.85
2021-07-23,9.79
2021-07-26,9.67
2021-07-27,9.739
2021-07-28,9.71
2021-07-29,9.7385
2021-07-30,9.71
2021-08-02,9.72
2021-08-03,9.69
2021-08-04,9.69
2021-08-05,9.71
2021-08-06,9.71
2021-08-09,9.67
2021-08-10,9.68
2021-08-11,9.69
2021-08-12,9.73
2021-08-13,9.705
2021-08-16,9.7
2021-08-17,9.68
2021-08-18,9.69
2021-08-19,9.69
2021-08-20,9.69
2021-08-23,9.635
2021-08-24,9.7
2021-08-25,9.69
2021-08-26,9.68
2021-08-27,9.68
2021-08-30,9.7
2021-08-31,9.685
2021-09-01,9.685
2021-09-02,9.685
2021-09-03,9.73
2021-09-07,9.73
2021-09-08,9.63
2021-09-09,9.705
2021-09-10,9.74
2021-09-13,9.74
2021-09-14,9.8
2021-09-15,9.75
2021-09-16,9.77
2021-09-17,9.78
2021-09-20,9.7
2021-09-21,9.71
2021-09-22,9.76
2021-09-23,9.75
2021-09-24,9.77
2021-09-27,9.77
2021-09-28,9.77
2021-09-29,9.77
2021-09-30,9.77
2021-10-01,9.77
2021-10-04,9.75
2021-10-05,9.75
2021-10-06,9.86
2021-10-07,9.85
2021-10-08,9.85
2021-10-11,9.865
2021-10-12,9.8901
2021-10-13,9.85
2021-10-14,9.87
2021-10-15,9.85
2021-10-18,9.89
2021-10-19,10.02
2021-10-20,10.02
2021-10-21,10.07
2021-10-22,10.075
2021-10-25,10.05
2021-10-26,10.13
2021-10-27,10.3
2021-10-28,10.3
2021-10-29,10.52
2021-11-01,10.52
2021-11-02,10.31
2021-11-03,10.38
2021-11-04,10.33
2021-11-05,10.75
2021-11-08,10.97
2021-11-09,10.84
2021-11-10,10.46
2021-11-11,10.41
2021-11-12,10.55
2021-11-15,10.44
2021-11-16,11.22
2021-11-17,11.88
2021-11-18,12.05
2021-11-19,11.88
2021-11-22,11.62
2021-11-23,11.06
2021-11-24,10.95
2021-11-26,10.49
2021-11-29,10.67
2021-11-30,10.8
2021-12-01,10.47
2021-12-02,10.39
2021-12-03,10.31
2021-12-06,10.39
2021-12-07,10.78
2021-12-08,11.0
2021-12-09,10.61
2021-12-10,10.73
2021-12-13,10.36
2021-12-14,10.46
2021-12-15,10.53
2021-12-16,10.37
2021-12-17,10.34
2021-12-20,10.23
2021-12-21,10.33
2021-12-22,10.31
2021-12-23,10.35
2021-12-27,10.31
2021-12-28,10.3
2021-12-29,10.27
2021-12-30,10.3
2021-12-31,10.29
2022-01-03,10.27
2022-01-04,10.26
2022-01-05,10.2
2022-01-06,10.22
2022-01-07,10.25
2022-01-10,10.16
2022-01-11,10.11
2022-01-12,10.1
2022-01-13,9.99
2022-01-14,9.98
2022-01-18,9.99
2022-01-19,9.97
2022-01-20,9.96
2022-01-21,9.9
2022-01-24,9.89
2022-01-25,9.92
2022-01-26,9.92
2022-01-27,9.91
2022-01-28,9.95
2022-01-31,9.95
2022-02-01,9.98
2022-02-02,9.95
2022-02-03,9.9
2022-02-04,9.93
2022-02-07,9.94
2022-02-08,9.95
2022-02-09,9.98
2022-02-10,9.97
2022-02-11,9.97
2022-02-14,9.98
2022-02-15,9.97
2022-02-16,9.98
2022-02-17,9.97
2022-02-18,9.97
2022-02-22,9.97
2022-02-23,8.4
2022-02-24,9.05
2022-02-25,9.31
2022-02-28,9.91
2022-03-01,10.24
2022-03-02,9.43
2022-03-03,8.27
2022-03-04,7.45
2022-03-07,6.87
2022-03-08,6.82
2022-03-09,7.62
2022-03-10,7.39
2022-03-11,6.94
2022-03-14,6.35
2022-03-15,5.92
2022-03-16,6.28
2022-03-17,6.63
2022-03-18,6.83
2022-03-21,6.37
2022-03-22,6.75
2022-03-23,7.14
2022-03-24,7.63
2022-03-25,7.31
2022-03-28,6.93
2022-03-29,6.79
2022-03-30,6.67
2022-03-31,6.3
2022-04-01,6.22
2022-04-04,6.52
2022-04-05,5.96
2022-04-06,5.83
2022-04-07,6.22
2022-04-08,6.15
2022-04-11,5.85
2022-04-12,6.15
2022-04-13,6.42
2022-04-14,6.34
2022-04-18,6.17
2022-04-19,5.83
2022-04-20,5.9
2022-04-21,5.78
2022-04-22,5.63
2022-04-25,5.9
2022-04-26,6.0
2022-04-27,6.47
2022-04-28,6.74
2022-04-29,6.95
2022-05-02,7.04
2022-05-03,7.15
2022-05-04,6.78
2022-05-05,6.99
2022-05-06,7.42
2022-05-09,6.42
2022-05-10,5.68
2022-05-11,6.07
2022-05-12,6.85
2022-05-13,7.76
2022-05-16,7.46
2022-05-17,7.68
2022-05-18,7.3
2022-05-19,7.98
2022-05-20,8.65
2022-05-23,8.87
2022-05-24,8.16
2022-05-25,8.51
2022-05-26,8.34
2022-05-27,8.81
2022-05-31,8.98
2022-06-01,9.16
2022-06-02,8.23
2022-06-03,8.22
2022-06-06,7.25
2022-06-07,6.73
2022-06-08,6.57
2022-06-09,5.86
2022-06-10,5.19
2022-06-13,4.62
2022-06-14,4.32
2022-06-15,4.5
2022-06-16,4.7
2022-06-17,4.96
2022-06-21,4.72
2022-06-22,4.33
2022-06-23,4.34
2022-06-24,3.99
2022-06-27,3.71
2022-06-28,3.6
2022-06-29,3.38
2022-06-30,3.67
2022-07-01,3.74
2022-07-05,4.27
2022-07-06,4.62
2022-07-07,5.18
2022-07-08,5.3
2022-07-11,4.665
2022-07-12,4.54
2022-07-13,4.47
2022-07-14,4.3
2022-07-15,4.4
2022-07-18,4.46
2022-07-19,4.52
2022-07-20,4.53
2022-07-21,4.24
2022-07-22,4.03
2022-07-25,4.18
2022-07-26,3.9
2022-07-27,4.19
2022-07-28,4.41
2022-07-29,4.43
2022-08-01,4.11
2022-08-02,4.06
2022-08-03,4.31
2022-08-04,4.27
2022-08-05,4.45
2022-08-08,4.55
2022-08-09,4.35
2022-08-10,4.47
2022-08-11,4.34
2022-08-12,4.84
2022-08-15,4.97
2022-08-16,5.39
2022-08-17,5.23
2022-08-18,5.67
2022-08-19,5.02
2022-08-22,4.58
2022-08-23,4.53
2022-08-24,4.44
2022-08-25,4.25
2022-08-26,3.99
2022-08-29,4.04
2022-08-30,3.95
2022-08-31,3.98
2022-09-01,3.51
2022-09-02,3.64
2022-09-06,2.29
2022-09-07,2.36
2022-09-08,2.4
2022-09-09,2.42
2022-09-12,2.45
2022-09-13,2.41
2022-09-14,2.45
2022-09-15,2.28
2022-09-16,2.29
2022-09-19,2.09
2022-09-20,2.0
2022-09-21,2.0
2022-09-22,1.92
2022-09-23,1.83
2022-09-26,1.77
2022-09-27,1.82
2022-09-28,1.87
2022-09-29,1.73
2022-09-30,1.88
2022-10-03,1.93
2022-10-04,2.08
2022-10-05,1.96
2022-10-06,1.96
2022-10-07,1.89
2022-10-10,1.94
2022-10-11,1.9
2022-10-12,1.89
2022-10-13,1.79
2022-10-14,1.61
2022-10-17,1.92
2022-10-18,1.89
2022-10-19,1.87
2022-10-20,1.98
2022-10-21,2.05
2022-10-24,2.09
2022-10-25,2.27
2022-10-26,2.1
2022-10-27,2.13
2022-10-28,2.09
2022-10-31,2.1
2022-11-01,1.88
2022-11-02,1.82
2022-11-03,1.8
2022-11-04,1.79
2022-11-07,1.69
2022-11-08,1.57
2022-11-09,1.11
2022-11-10,1.19
2022-11-11,1.18
2022-11-14,1.2
2022-11-15,1.25
2022-11-16,1.14
2022-11-17,1.22
2022-11-18,1.24
2022-11-21,1.39
2022-11-22,1.32
2022-11-23,1.44
2022-11-25,1.4
2022-11-28,1.28
2022-11-29,1.31
2022-11-30,1.3
2022-12-01,1.16
2022-12-02,1.18
2022-12-05,1.11
2022-12-06,1.05
2022-12-07,1.0
2022-12-08,1.02
2022-12-09,0.9908
2022-12-12,0.9638
2022-12-13,0.9693
2022-12-14,0.9893
2022-12-15,0.995
2022-12-16,0.8948
2022-12-19,0.8001
2022-12-20,0.786
2022-12-21,0.8102
2022-12-22,0.7771
2022-12-23,0.8266
2022-12-27,0.6802
2022-12-28,0.6801
2022-12-29,0.7183
2022-12-30,0.7292
2023-01-03,0.7276
2023-01-04,0.8139
2023-01-05,0.7631
2023-01-06,0.7497
2023-01-09,0.76
2023-01-10,0.7754
2023-01-11,0.7994
2023-01-12,0.848
2023-01-13,0.9201
2023-01-17,1.0
2023-01-18,0.9458
2023-01-19,0.8711
2023-01-20,0.8929
2023-01-23,0.8991
2023-01-24,0.8704
2023-01-25,0.8499
2023-01-26,0.8087
2023-01-27,0.8038
2023-01-30,0.7719
2023-01-31,0.7806
2023-02-01,0.8
2023-02-02,0.8619
2023-02-03,1.05
2023-02-06,1.16
2023-02-07,1.12
2023-02-08,1.39
2023-02-09,1.06
2023-02-10,1.19
2023-02-13,1.03
2023-02-14,0.9767
2023-02-15,1.12
2023-02-16,1.12
2023-02-17,1.07
2023-02-21,1.01
2023-02-22,1.0
2023-02-23,1.01
2023-02-24,0.8369
2023-02-27,0.7655
2023-02-28,0.7497
2023-03-01,0.76
2023-03-02,0.7496
2023-03-03,0.7989
2023-03-06,0.7958
2023-03-07,0.756
2023-03-08,0.7268
2023-03-09,0.6891
2023-03-10,0.6093
2023-03-13,0.5952
2023-03-14,0.5977
2023-03-15,0.5342
2023-03-16,0.5047
2023-03-17,0.4993
2023-03-20,0.5139
2023-03-21,0.5844
2023-03-22,0.5732
2023-03-23,0.5956
2023-03-24,0.56
2023-03-27,0.5506
2023-03-28,0.55
2023-03-29,0.55
2023-03-30,0.6
2023-03-31,0.7234
2023-04-03,0.6713
2023-04-04,0.6679
2023-04-05,0.5873
2023-04-06,0.6041
2023-04-10,0.5762
2023-04-11,0.5502
2023-04-12,0.5238
2023-04-13,0.515
2023-04-14,0.4998
2023-04-17,0.491
2023-04-18,0.557
2023-04-19,0.5488
2023-04-20,0.5119
2023-04-21,0.4949
2023-04-24,0.4772
2023-04-25,0.4687
2023-04-26,0.4517
2023-04-27,0.4481
2023-04-28,0.47
2023-05-01,0.42
2023-05-02,0.4034
2023-05-03,0.3751
2023-05-04,0.3892
2023-05-05,0.4092
2023-05-08,0.4517
2023-05-09,0.4378
2023-05-10,0.4874
2023-05-11,0.5
2023-05-12,0.4612
2023-05-15,0.5149
2023-05-16,0.5135
2023-05-17,0.5325
2023-05-18,0.5792
2023-05-19,0.5068
2023-05-22,0.7342
2023-05-23,0.738
2023-05-24,0.7701
2023-05-25,0.797
2023-05-26,1.07
2023-05-30,1.03
2023-05-31,0.9388
2023-06-01,0.9542
2023-06-02,0.878
2023-06-05,0.9123
2023-06-06,1.1
2023-06-07,1.035
2023-06-08,1.38
2023-06-09,1.33
2023-06-12,1.25
2023-06-13,1.31
2023-06-14,1.215
2023-06-15,1.23
2023-06-16,1.11
2023-06-20,1.085
2023-06-21,0.975
2023-06-22,0.98
2023-06-23,0.913
2023-06-26,0.9952
2023-06-27,1.08
2023-06-28,1.24
2023-06-29,1.16
2023-06-30,1.175
2023-07-03,1.34
2023-07-05,1.59
2023-07-06,1.47
2023-07-07,1.37
2023-07-10,1.48
2023-07-11,1.53
2023-07-12,1.74
2023-07-13,2.0
2023-07-14,1.76
2023-07-17,2.1
2023-07-18,2.21
2023-07-19,2.06
2023-07-20,1.89
2023-07-21,1.64
2023-07-24,1.72
2023-07-25,2.11
2023-07-26,1.97
2023-07-27,1.84
2023-07-28,2.2
2023-07-31,2.49
2023-08-01,3.25
2023-08-02,2.99
2023-08-03,2.73
2023-08-04,2.74
2023-08-07,2.32
2023-08-08,1.87
2023-08-09,1.65
2023-08-10,1.64
2023-08-11,2.28
2023-08-14,2.67
2023-08-15,2.24
2023-08-16,2.09
2023-08-17,1.97
2023-08-18,2.06
2023-08-21,2.02
2023-08-22,1.97
2023-08-23,1.97
2023-08-24,1.81
2023-08-25,1.74
2023-08-28,1.89
2023-08-29,1.86
2023-08-30,1.76
2023-08-31,1.8
2023-09-01,1.84
2023-09-05,2.03
2023-09-06,2.08
2023-09-07,1.93
2023-09-08,1.98
2023-09-11,2.03
2023-09-12,1.95
2023-09-13,2.0
2023-09-14,1.93
2023-09-15,1.86
2023-09-18,1.78
2023-09-19,1.79
2023-09-20,1.74
2023-09-21,1.6
2023-09-22,1.57
2023-09-25,1.46
2023-09-26,1.38
2023-09-27,1.42
2023-09-28,1.31
2023-09-29,1.33
2023-10-02,1.29
2023-10-03,1.19
2023-10-04,1.26
2023-10-05,1.21
2023-10-06,1.4
2023-10-09,1.36
2023-10-10,1.53
2023-10-11,1.51
2023-10-12,1.48
2023-10-13,1.4
2023-10-16,1.41
2023-10-17,1.43
2023-10-18,1.35
2023-10-19,1.26
2023-10-20,1.2
2023-10-23,1.16
2023-10-24,1.3
2023-10-25,1.19
2023-10-26,1.17
2023-10-27,1.12
2023-10-30,1.08
2023-10-31,1.06
2023-11-01,1.05
2023-11-02,1.14
2023-11-03,1.17
2023-11-06,1.04
2023-11-07,1.04
2023-11-08,1.05
2023-11-09,1.05
2023-11-10,0.97
2023-11-13,1.06
2023-11-14,1.19
2023-11-15,1.17
2023-11-16,1.08
2023-11-17,1.1
2023-11-20,1.05
2023-11-21,1.02
2023-11-22,1.05
2023-11-24,1.05
2023-11-27,1.05
2023-11-28,1.08
2023-11-29,1.06
2023-11-30,1.06
